id,label,ntype,hub_risiko,degree,polres,klaster,band,jml_polres,jml_estate
Agrinas Palma Nusantara,"Agrinas Palma
Nusantara",agrinas,YA,32,,,,5,10
Agus S Lubis,Agus S Lubis,aktor_multi,YA,3,,,,1,2
Belum ada KSO,Belum ada KSO,aktor_generic,YA,3,,,,1,2
Berlian Nusantara Perkasa,Berlian Nusantara Perkasa,aktor_multi,YA,4,,,,1,2
Bernas Mulya Mandiri,Bernas Mulya Mandiri,aktor_multi,YA,6,,,,2,5
KSO,KSO,aktor_generic,YA,6,,,,2,5
Maju Serempak,Maju Serempak,aktor_multi,YA,3,,,,1,2
Makmur Jaya Sentosa,Makmur Jaya Sentosa,aktor_pam,YA,2,,,,1,0
PT Nusantara Sawit Majuma,PT Nusantara Sawit Majuma,aktor_pam,YA,2,,,,1,1
PT Palma Agung Betuah (PAB),PT Palma Agung Betuah (PA…,aktor_pam,YA,2,,,,1,1
PT Riden Jaya Konstruksi,PT Riden Jaya Konstruksi,aktor_pam,YA,2,,,,1,1
PT Runggu,PT Runggu,aktor_multi,YA,3,,,,1,2
PT Ujung Tanjung Sejahtera,PT Ujung Tanjung Sejahtera,aktor_pam,YA,2,,,,1,1
Poktan Berkah Tani Sejahtera,Poktan Berkah Tani Sejaht…,aktor_multi,YA,3,,,,1,2
Poktan Riau Jaya Makmur,Poktan Riau Jaya Makmur,aktor_pam,YA,3,,,,1,2
Togas,Togas,aktor_pam,YA,2,,,,1,0
Togos,Togos,aktor_pam,YA,2,,,,1,0
Torus,Torus,aktor_pam,YA,2,,,,1,0
Agregat Agrinas Prima / TNTN,Agregat Agrinas Prima /…,estate_hijau,TIDAK,2,Pelalawan,Hijau (KSO); TNTN terpisah,,,
Agrita Sari Prima,Agrita Sari Prima,estate_hijau,TIDAK,2,Pelalawan,Hijau,,,
Bengkalis,Bengkalis,polres_tinggi,TIDAK,3,,,TINGGI,,
CV Halim Group,CV Halim Group,estate_hijau,TIDAK,2,Rohul,Hijau,,,
Dumai,Dumai,polres_sedang,TIDAK,2,,,SEDANG,,
Eka Sari Lorena,Eka Sari Lorena,estate_hijau,TIDAK,2,Pelalawan,Hijau,,,
Gandaerah Hendana,Gandaerah Hendana,estate_hijau,TIDAK,2,Pelalawan,Hijau,,,
Gandaerah Hendana (bagian Pelalawan),Gandaerah Hendana (bagi…,estate,TIDAK,2,Pelalawan,,,,
Guna Dodos,Guna Dodos,estate_hijau,TIDAK,2,Pelalawan,Hijau,,,
Inhil,Inhil,polres_rendah,TIDAK,2,,,RENDAH,,
Inhu,Inhu,polres_sedang,TIDAK,9,,,SEDANG,,
Kampar,Kampar,polres_sedang,TIDAK,8,,,SEDANG,,
Kop. Desa Segati,Kop. Desa Segati,aktor,TIDAK,2,,,,1,0
Kop. Karya Indragiri Maju,Kop. Karya Indragiri Maju,aktor,TIDAK,2,,,,1,0
Kop. Segati Sejahtera,Kop. Segati Sejahtera,aktor,TIDAK,2,,,,1,0
Kuansing,Kuansing,polres_sedang,TIDAK,2,,,SEDANG,,
Mekar Sari Alam Lestari,Mekar Sari Alam Lestari,estate_hijau,TIDAK,2,Pelalawan,Hijau,,,
Mitra Unggul Pusaka,Mitra Unggul Pusaka,estate_hijau,TIDAK,2,Pelalawan,Hijau,,,
PKS PT BBU II,PKS PT BBU II,estate_hijau,TIDAK,2,Inhu,Hijau,,,
PT APSL Andika Permata,PT APSL Andika Permata,estate_hijau,TIDAK,2,Rohul,Hijau,,,
