aktor,Bengkalis,Dumai,Inhil,Inhu,Kampar,Kuansing,Pelalawan,Rohil,Rohul,total_polres
Agrinas Palma Nusantara,0,0,0,1,1,1,1,0,1,5
Bernas Mulya Mandiri,0,0,0,1,0,0,0,0,1,2
Agus S Lubis,0,0,0,1,0,0,0,0,0,1
Berlian Nusantara Perkasa,0,0,0,0,0,0,1,0,0,1
Kop. Desa Segati,0,0,0,0,0,0,1,0,0,1
Kop. Karya Indragiri Maju,0,0,0,0,0,0,1,0,0,1
Kop. Segati Sejahtera,0,0,0,0,0,0,1,0,0,1
Maju Serempak,0,0,0,0,0,0,1,0,0,1
Makmur Jaya Sentosa,0,0,0,0,1,0,0,0,0,1
PT Nusantara Sawit Majuma,0,0,0,0,0,0,0,0,1,1
PT Palma Agung Betuah (PAB),1,0,0,0,0,0,0,0,0,1
PT Riden Jaya Konstruksi,0,1,0,0,0,0,0,0,0,1
PT Runggu,0,0,0,1,0,0,0,0,0,1
PT Ujung Tanjung Sejahtera,0,0,0,0,0,0,0,1,0,1
Poktan Berkah Tani Sejahtera,0,0,1,0,0,0,0,0,0,1
Poktan LMMB,0,0,0,0,0,0,1,0,0,1
Poktan Riau Jaya Makmur,0,0,0,0,1,0,0,0,0,1
Togas,0,0,0,0,0,0,0,0,1,1
Togos,0,0,0,0,0,0,0,0,1,1
Torus,0,0,0,0,0,0,0,0,1,1
