pengelola,cluster,ha_sitaan,jml_estate,jml_polres,polres_list,merah,kuning,hijau,alias_mentah
Belum ada KSO / dikelola langsung,Gap / belum KSO,122697.53,20,8,"Bengkalis, Dumai, Inhu, Kampar, Kep. Meranti, Pelalawan, Rohil, Siak",0,2,11,- | 10 KSO penunjukan Agrinas | 8 KSO (nama tidak lengkap di sumber) | Belum ada KSO | Dikelola sendiri
Agrinas Palma Nusantara,Agrinas langsung,85339.22,21,6,"Bengkalis, Inhu, Kampar, Kuansing, Pelalawan, Rohul",0,4,15,Agrinas | Agrinas / Koperasi Sahbela | Agrinas / RKG Sariman Siregar | Agrinas Palma Nusantara | Dikelola langsung Agrinas
Bernas Mulya Mandiri,Mitra KSO / CV / PT,15815.00,3,1,Inhu,0,0,3,Bernas Mulya Mandiri | Bernas Mulya Mandiri / Osten Panjaitan
Berlian Nusantara Perkasa,Mitra KSO / CV / PT,4745.00,1,1,Pelalawan,0,0,1,Berlian Nusantara Perkasa
PT Palma Agung Betuah (PAB),Hub PAM / bentrok,4557.19,1,1,Bengkalis,1,0,0,PT Palma Agung Betuah (PAB)
Agus S Lubis / Osten Panjaitan,Mitra KSO / CV / PT,4443.00,1,1,Inhu,0,0,1,Osten Panjaitan / Agus S Lubis
PT Satahi / Poktan Melayu Terpadu,Koperasi / Poktan,3200.00,1,1,Rohil,0,1,0,PT Satahi / Poktan Melayu Terpadu
PT Runggu,Mitra KSO / CV / PT,3000.00,2,1,Inhu,0,0,2,PT Runggu
Citra Mutiara Bumi Riau,Mitra KSO / CV / PT,2980.61,1,1,Inhil,0,1,0,Citra Mutiara Bumi Riau
TDE Tuah Daleh Esa,Mitra KSO / CV / PT,2349.23,1,1,Inhu,0,0,1,TDE Tuah Daleh Esa
Koperasi Jasa TKBM Siak Mahasakti Karya,Koperasi / Poktan,2144.14,1,1,Inhu,0,0,1,Koperasi Jasa TKBM Siak Mahasakti Karya
Dikembalikan Satgas,Mitra KSO / CV / PT,2000.00,1,1,Inhu,0,0,1,Dikembalikan Satgas
PT BWB / Koperasi K21,Koperasi / Poktan,1988.00,1,1,Rohil,0,1,0,PT BWB / Koperasi K21
PT Ujung Tanjung Sejahtera,Hub PAM / bentrok,1800.00,1,1,Rohil,1,0,0,PT Ujung Tanjung Sejahtera
PT PAS / Gerbang Pintu Air,Mitra KSO / CV / PT,1564.54,1,1,Inhu,0,0,1,PT PAS / Gerbang Pintu Air
Self / KSO,Mitra KSO / CV / PT,1498.00,1,1,Dumai,0,1,0,Self / KSO
PT Riden Jaya Konstruksi,Hub PAM / bentrok,1458.70,1,1,Dumai,0,1,0,PT Riden Jaya Konstruksi
Poktan Riau Jaya Makmur / Paruh Marta,Koperasi / Poktan,1445.00,1,1,Kampar,0,1,0,Poktan Riau Jaya Makmur / Paruh Marta
PT Nusantara Sawit Majuma,Hub PAM / bentrok,1383.92,1,1,Rohul,1,0,0,PT Nusantara Sawit Majuma
Kop. Sepahat Bersatu,Koperasi / Poktan,1204.90,1,1,Bengkalis,0,1,0,Kop. Sepahat Bersatu
Poktan Kampar Jaya Bersama,Koperasi / Poktan,1070.59,1,1,Kampar,0,1,0,Poktan Kampar Jaya Bersama
Digjaya Nata Persada,Mitra KSO / CV / PT,1008.00,1,1,Rohil,0,1,0,Digjaya Nata Persada
Poktan Riau Jaya Makmur,Hub PAM / bentrok,1000.00,1,1,Kampar,0,1,0,Poktan Riau Jaya Makmur
Agung Anugerah Sawit,Mitra KSO / CV / PT,960.00,1,1,Siak,0,0,1,Agung Anugerah Sawit
PT Cantya/Cintya Graha Indah,Mitra KSO / CV / PT,831.43,1,1,Rohul,0,0,1,PT Cantya/Cintya Graha Indah
CV Cipta Nugraha,Mitra KSO / CV / PT,750.21,1,1,Inhil,0,0,0,CV Cipta Nugraha
Kop. Mitra Karya Perkasa,Koperasi / Poktan,749.60,1,1,Bengkalis,0,1,0,Kop. Mitra Karya Perkasa
