polres,level,prioritas_harda,skor_risiko,jml_kebun_matrik,jml_kebun_intelkam,luas_sita_ha,luas_kso_ha,pct_kso_vs_sita
Rohul,P1,Sangat tinggi,28.0,13,21,51473.11,19243.34,37.4
Bengkalis,P1,Sangat tinggi,26.5,10,8,49415.52,6708.69,13.6
Rohil,P1,Sangat tinggi,20.0,7,24,9412.55,7424.55,78.9
Kampar,P2,Tinggi,17.0,11,4,27936.7,3622.59,13.0
Kuansing,P2,Tinggi,10.5,11,11,30072.65,15201.65,50.5
Dumai,P2,Tinggi,9.5,3,3,3456.7,3456.7,100.0
Inhu,P2,Tinggi,9.0,28,28,37837.62,29139.73,77.0
Pelalawan,P2,Tinggi (dimensi TNTN),3.0,9,9,6269.63,333.01,5.3
Inhil,P3,Sedang-tinggi,5.5,6,15,3968.36,3890.36,98.0
Siak,P3,Sedang,1.5,4,6,1102.68,985.44,89.4
Kep. Meranti,P4,Rendah (gap-fill),1.5,1,1,2584.44,0.0,0.0
Pekanbaru,P4,Rendah (monitoring),1.5,1,0,0.0,0.0,
